DATE,GDPDEF
1998-01-01,69.794
1998-04-01,69.959
1998-07-01,70.255
1998-10-01,70.453
1999-01-01,70.682
1999-04-01,70.949
1999-07-01,71.2
1999-10-01,71.595
2000-01-01,72.071
2000-04-01,72.52
2000-07-01,72.944
2000-10-01,73.337
2001-01-01,73.822
2001-04-01,74.266
2001-07-01,74.558
2001-10-01,74.792
2002-01-01,75.027
2002-04-01,75.289
2002-07-01,75.65
2002-10-01,76.089
2003-01-01,76.461
2003-04-01,76.73
2003-07-01,77.169
2003-10-01,77.639
2004-01-01,78.193
2004-04-01,78.824
2004-07-01,79.324
2004-10-01,79.939
2005-01-01,80.578
2005-04-01,81.158
2005-07-01,81.898
2005-10-01,82.571
2006-01-01,83.156
2006-04-01,83.882
2006-07-01,84.468
2006-10-01,84.77
2007-01-01,85.576
2007-04-01,86.171
2007-07-01,86.642
2007-10-01,86.993
2008-01-01,87.315
2008-04-01,87.738
2008-07-01,88.399
2008-10-01,88.613
2009-01-01,88.543
2009-04-01,88.396
2009-07-01,88.501
2009-10-01,88.781
2010-01-01,89.036
2010-04-01,89.471
2010-07-01,89.743
2010-10-01,90.264
2011-01-01,90.726
2011-04-01,91.326
2011-07-01,91.876
2011-10-01,91.985
2012-01-01,92.525
2012-04-01,92.907
2012-07-01,93.417
2012-10-01,93.885
2013-01-01,94.258
2013-04-01,94.461
2013-07-01,94.924
2013-10-01,95.426
2014-01-01,95.788
2014-04-01,96.33
2014-07-01,96.726
2014-10-01,96.822
2015-01-01,96.769
2015-04-01,97.325
2015-07-01,97.583
2015-10-01,97.581
2016-01-01,97.496
2016-04-01,98.159
2016-07-01,98.41
2016-10-01,98.886
2017-01-01,99.39
2017-04-01,99.65
2017-07-01,100.162
2017-10-01,100.778
2018-01-01,101.419
2018-04-01,102.136
2018-07-01,102.577
2018-10-01,103.019
2019-01-01,103.375
2019-04-01,103.888
2019-07-01,104.211
2019-10-01,104.541
2020-01-01,105.037
2020-04-01,104.614
2020-07-01,105.538
2020-10-01,106.275
2021-01-01,107.668
2021-04-01,109.305
2021-07-01,110.92
2021-10-01,112.848
2022-01-01,115.135
2022-04-01,117.671
2022-07-01,118.962
2022-10-01,120.093
2023-01-01,121.261
2023-04-01,121.766
